,id_participante,total_lances_participante,leiloes_participados,media_lances_porleilao,max_lances_leilao,mediana_lances_porleilao,std_lances_porleilao,qtde_mercadorias_participante,qtde_lance_artigos esportivos,qtde_lance_joias,qtde_lance_móveis,qtde_lance_equipamentos de escritório,qtde_lance_bens domésticos,qtde_lance_livros e música,qtde_lance_computadores,qtde_lance_peças de automóveis,qtde_lance_vestuário,total_dispositivos_participante,dispositivos_duplicados,max_lances_pordispositivo,media_lances_pordispositivo,mediana_lances_pordispositivo,std_lances_pordispositivo,max_dispositivos_porleilao,media_dispositivos_porleilao,mediana_dispositivo_porleilao,std_dispositivos_porleilao,max_dispositivos_porip,media_dispositivos_porip,mediana_dispositivo_porip,std_dispositivos_porip,max_dispositivos_porurl,media_dispositivos_porurl,mediana_dispositivo_porurl,std_dispositivos_porurl,total_ips_participante,ips_duplicados,max_ips_porleilao,media_ips_porleilao,mediana_ips_porleilao,std_ips_porleilao,max_lances_porip,media_lances_porip,mediana_lances_porip,std_lances_porip,max_ips_pordispositivo,media_ips_pordispositivo,mediana_ips_por_dispositivo,std_ips_pordispositivo,max_ips_porpais,media_ips_porpais,mediana_ips_por_pais,std_ips_porpais,max_ips_porurl,media_ips_porurl,mediana_ips_por_url,std_ips_porurl,total_paises_participante,paises_duplicados,max_pais_porleilao,media_pais_porleilao,mediana_paises_por_leilao,std_paises_porleilao,max_lances_porpais,media_lances_porpais,mediana_lances_porpais,std_lances_porpais,max_pais_pordispositivo,media_pais_pordispositivo,mediana_paises_por_dispositivo,std_paises_pordispositivo,max_pais_porurl,media_pais_porurl,mediana_paises_por_url,std_paises_porurl,paises_por_ip,max_pais_ip,media_pais_porip,mediana_paises_por_ip,std_paises_porip,total_urls_participante,urls_duplicados,max_urls_porleilao,media_urls_porleilao,mediana_urls_por_leilao,std_urls_porleilao,max_lances_porurl,media_lances_porurl,mediana_lances_porurl,std_lances_porurl,max_urls_pordispositivo,media_urls_pordispositivo,mediana_urls_por_dispositivo,std_urls_pordispositivo,max_urls_porpais,media_urls_porpais,mediana_urls_por_pais,std_urls_porpais,max_urls_porip,media_urls_porip,mediana_urls_por_ip,std_urls_porip,ratio_media_mediana_lances_porleilao,ratio_std_media_lances_porleilao,comb_media_mediana_lances_porleilao,ratio_max_media_lances_pordispositivo,diff_max_mediana_lances_pordispositivo,var_percentual_media_mediana_lances_porleilao,interacao_media_std_lances_pordispositivo,ratio_max_media_lances_porip,diff_max_mediana_lances_porip,var_percentual_media_mediana_lances_porip,interacao_media_std_lances_porip,ratio_max_media_lances_porurl,diff_max_mediana_lances_porurl,var_percentual_media_mediana_lances_porurl,interacao_media_std_lances_porurl,ratio_max_media_lances_porpais,diff_max_mediana_lances_porpais,var_percentual_media_mediana_lances_porpais,ratio_media_mediana_dispositivos_porleilao,ratio_std_media_dispositivos_porleilao,comb_media_mediana_dispositivos_porleilao,ratio_max_media_dispositivos_porip,diff_max_mediana_dispositivos_porip,var_percentual_media_mediana_dispositivos_porip,interacao_media_std_dispositivos_porip,ratio_max_media_dispositivos_porurl,diff_max_mediana_dispositivos_porurl,var_percentual_media_mediana_dispositivos_porurl,interacao_media_std_dispositivos_porurl,ratio_media_mediana_pais_porleilao,ratio_std_media_pais_porleilao,comb_media_mediana_pais_porleilao,ratio_max_media_pais_pordispositivo,diff_max_mediana_pais_pordispositivo,var_percentual_media_mediana_pais_pordispositivo,interacao_media_pais_pordispositivo,ratio_max_media_pais_porip,diff_max_mediana_pais_porip,var_percentual_media_mediana_pais_porip,interacao_media_std_pais_porip,ratio_max_media_pais_porurl,diff_max_mediana_pais_porurl,var_percentual_media_mediana_pais_porurl,interacao_media_std_pais_porurl,ratio_media_mediana_ips_porleilao,ratio_std_media_ips_porleilao,comb_media_mediana_ips_porleilao,ratio_max_media_ips_pordispositivo,diff_max_mediana_ips_pordispositivo,var_percentual_media_mediana_ips_pordispositivo,interacao_media_ips_pordispositivo,ratio_max_media_ips_porpais,diff_max_mediana_ips_porpais,var_percentual_media_mediana_ips_porpais,interacao_media_std_ips_porpais,ratio_max_media_ips_porurl,diff_max_mediana_ips_porurl,var_percentual_media_mediana_ips_porurl,interacao_media_std_ips_porurl,ratio_media_mediana_urls_porleilao,ratio_std_media_urls_porleilao,comb_media_mediana_urls_porleilao,ratio_max_media_urls_pordispositivo,diff_max_mediana_urls_pordispositivo,var_percentual_media_mediana_urls_pordispositivo,interacao_media_urls_pordispositivo,ratio_max_media_urls_porpais,diff_max_mediana_urls_porpais,var_percentual_media_mediana_urls_porpais,interacao_media_std_urls_porpais,ratio_max_media_urls_porip,diff_max_mediana_urls_porip,var_percentual_media_mediana_urls_porip,interacao_media_std_urls_porip,qtde_lances_pico,qtde_lances_fora_pico,porcentagem_lances_pico,porcentagem_lances_fora_pico,porcentagem_lances_quartil_1,porcentagem_lances_quartil_2,porcentagem_lances_quartil_3,porcentagem_lances_quartil_4,std_lances_por_quartil,media_diftempo_porusuario,mediana_difs_tempo_participante,std_difstempo_porlance,qtde_lances_simultaneos,tem_lance_simultaneo,entropia_ip,entropia_pais,entropia_dispositivo,entropia_url,entropia_pais_ip,entropia_dispositivo_ip,entropia_dispositivo_url,entropia_dispositivo_pais,entropia_url_pais
0,a71f84e476d03bd0b25d45e44eeed9a8efehw,153.0,20.0,29.26143790849673,42.0,41.0,14.22865158885389,1.0,0.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,108.0,14.0,4.098039215686274,2.0,3.922058792895986,30.0,4.098039215686274,29.0,19.907562236939224,13.0,3.888888888888889,1.0,4.981738620247431,22.0,9.57516339869281,8.0,7.865447571255985,105.0,63.0,37.0,23.45098039215686,28.0,11.146640618502367,21.0,5.15686274509804,1.0,7.306651680837309,11.0,3.5359477124183005,2.0,3.3058200683133667,94.0,86.88235294117646,94.0,24.40077711621973,24.0,10.869281045751634,8.0,8.997961141940042,6.0,150.0,1.0,1.0,1.0,0.0,141.0,130.22875816993465,141.0,36.92467101858061,2.0,1.0457516339869282,1.0,0.2089459786032128,4.0,1.5098039215686274,1.0,1.109187107743604,1.0,1.0,1.0,1.0,0.0,43.0,131.0,21.0,15.117647058823527,19.0,6.160109048001964,31.0,13.5359477124183,8.0,11.883985018453812,8.0,2.7712418300653594,2.0,2.194755281447065,39.0,36.11111111111112,39.0,9.905141964026743,12.0,3.392156862745098,1.0,4.114751549639827,0.7136936075243105,0.4862594802534387,35.130718954248366,3.4162679425837323,12.0,13.630718954248366,16.072750739514923,4.072243346007604,20.0,4.15686274509804,37.67939984431789,2.2901979719942056,23.0,0.6919934640522876,4808.654052583129,1.082710163111669,0.0,-0.0763917860288322,0.1413116970926301,4.857826191788997,16.549019607843135,3.342857142857143,12.0,2.888888888888889,19.3734279676289,2.297610921501706,14.0,0.1968954248366012,75.31294569862757,1.0,0.0,1.0,1.9125,1.0,0.0457516339869281,0.2185055985393075,1.0,0.0,0.0,0.0,2.6493506493506493,3.0,0.5098039215686274,1.674655045024657,0.8375350140056022,0.4753166150030274,25.725490196078432,3.11090573012939,9.0,0.7679738562091503,11.68920690821916,1.081922816519973,0.0,-0.0757196495619525,2119.996929450385,2.2080577269993986,16.0,0.3586601307189543,97.80136849049865,0.7956656346749226,0.4074780304125812,17.058823529411764,2.8867924528301887,6.0,0.3856209150326797,6.082197642702979,1.0799999999999998,0.0,-0.0740740740740739,357.68568203429913,3.5375722543352603,11.0,2.392156862745098,13.957882707601764,10.0,143.0,0.065359477124183,0.934640522875817,0.2091503267973856,0.2418300653594771,0.3464052287581699,0.2026143790849673,50.4361587189243,89007963988.92105,41684210526.0,115863479994.7402,1.0,0.0,6.100189085885544,0.5496337174464643,5.786800184047326,4.371604857600156,6.100189085885544,7.043303610652368,6.799615947154691,5.823464500873708,4.5956758851573
1,a71f84e476d03bd0b25d45e44eeed9a8efehw,139.0,22.0,26.22302158273381,47.0,22.0,16.255621347780338,1.0,0.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,101.0,12.0,3.5467625899280577,2.0,3.203467145046419,32.0,3.5467625899280577,18.0,19.168497394844778,11.0,2.776978417266187,1.0,3.4266059417606987,18.0,7.676258992805756,6.0,6.212329151524375,97.0,57.0,36.0,20.68345323741007,17.0,12.114582431912863,17.0,3.820143884892086,1.0,5.305422499006672,6.0,2.6115107913669067,2.0,1.6293653765988418,80.0,70.19424460431655,80.0,25.4292296830066,20.0,8.151079136690647,6.0,6.86447812922025,6.0,138.0,1.0,1.0,1.0,0.0,121.0,105.92086330935253,121.0,39.09977363790323,2.0,1.1079136690647482,1.0,0.3102713475229903,4.0,1.5107913669064748,1.0,1.1147597507068387,1.0,1.0,1.0,1.0,0.0,43.0,118.0,23.0,14.035971223021583,12.0,7.446123101089718,23.0,9.575539568345324,6.0,8.416306899773092,8.0,2.9424460431654675,2.0,2.395348562589022,33.0,29.1726618705036,33.0,9.934988718066794,10.0,2.83453237410072,1.0,3.2020612118364635,1.1919555264879007,0.6198988662116507,24.111510791366907,3.383367139959432,10.0,12.111510791366907,11.36193742811428,4.450094161958569,16.0,2.820143884892086,20.267477316349225,2.401953418482344,17.0,0.5959232613908872,4141.481778926973,1.1423622902940975,0.0,-0.1246209643855164,0.1970423661071143,5.404505350676317,10.773381294964029,3.961139896373057,10.0,1.776978417266187,9.515610744745535,2.344892221180881,12.0,0.2793764988009592,47.687447515658334,1.0,0.0,1.0,1.8051948051948048,1.0,0.1079136690647482,0.3437538670398598,1.0,0.0,0.0,0.0,2.6476190476190475,3.0,0.5107913669064748,1.684169407542706,1.2166737198476512,0.585713724534222,18.841726618705035,2.2975206611570247,4.0,0.3057553956834533,4.255105264067479,1.1396945782515115,0.0,-0.1225719424460431,1784.9855684683123,2.4536628420123567,14.0,0.3585131894484412,55.952904463356425,1.169664268585132,0.5305028759874273,13.017985611510792,2.7188264058679708,6.0,0.4712230215827337,7.048183899992158,1.1311960542540074,0.0,-0.1159799433180728,289.8300665594306,3.527918781725888,9.0,1.83453237410072,9.07634616880264,20.0,119.0,0.1438848920863309,0.8561151079136691,0.2681159420289855,0.2246376811594203,0.2101449275362318,0.2971014492753623,45.23842354023554,98311594202.89854,57157894737.0,115404195372.2046,1.0,0.0,6.124114771854968,0.8289995821552362,5.769854429035221,4.595198181774872,6.124114771854968,6.829267241741564,6.877863554706768,5.873196356924433,4.829242426271162
2,e134f2bb79d1a810aada6a24760c8910mh5na,550.0,130.0,20.90909090909091,51.0,22.0,16.672211749737922,1.0,0.0,0.0,0.0,550.0,0.0,0.0,0.0,0.0,0.0,176.0,455.0,41.0,10.192727272727272,5.0,10.938636354192244,37.0,10.192727272727272,17.0,13.328495789097882,11.0,1.6763636363636365,1.0,1.8598107075099324,56.0,29.983636363636364,33.0,19.09044752688788,451.0,152.0,50.0,20.081818181818186,22.0,15.949426788321674,15.0,1.930909090909091,1.0,2.5260009880709737,37.0,9.57090909090909,5.0,10.06115252258133,170.0,92.44909090909093,71.0,69.91548241263688,88.0,47.59090909090909,41.0,33.00939135087729,37.0,539.0,11.0,5.241818181818182,6.5,3.6672601072483086,235.0,123.17090909090908,85.0,99.46025185557068,8.0,3.3927272727272726,3.0,2.175554645723459,18.0,10.423636363636364,9.0,6.01547893162793,1.0,1.0,1.0,1.0,0.0,52.0,526.0,17.0,9.13818181818182,11.0,5.867553025955257,105.0,53.86545454545455,42.0,38.99958143449896,13.0,4.949090909090909,4.0,3.616772681286339,36.0,21.56,18.0,13.16907672611037,9.0,1.52,1.0,1.4480582610077288,0.950413223140496,0.7973666489005093,21.454545454545453,4.02247591865858,36.0,3.181818181818182,111.49453709382132,7.768361581920904,14.0,0.9309090909090908,4.877478271511589,1.9493012894079524,63.0,0.2825108225108225,12250.60963946142,1.9079180444024564,150.0,0.4490695187165776,0.599572192513369,1.3076476425265493,13.596363636363638,6.56182212581345,10.0,0.6763636363636363,3.1177190405893773,1.8676854041598447,23.0,-0.0914049586776859,572.4010366652873,0.8064335664335665,0.6996160454341206,5.870909090909091,2.3579849946409435,5.0,0.1309090909090908,7.3810635798545,1.0,0.0,0.0,0.0,1.7268445839874411,9.0,0.1581818181818182,62.70316493640532,0.912809917355372,0.7942222483999023,21.04090909090909,3.8658814589665655,32.0,0.914181818181818,96.29437614339658,1.83884988298228,99.0,0.3020998719590269,6463.622789518813,1.8490926456542505,47.0,0.1607538802660754,1570.946942925842,0.8307438016528926,0.6420919546906866,10.06909090909091,2.6267450404114623,9.0,0.2372727272727273,17.89973679720257,1.6697588126159555,18.0,0.1977777777777777,283.9252942149396,5.921052631578947,8.0,0.52,2.201048556731748,42.0,508.0,0.0763636363636363,0.9236363636363636,0.2290909090909091,0.3509090909090909,0.2290909090909091,0.1909090909090909,181.68011380837436,24837982935.482697,15473684212.0,27961546678.25905,1.0,0.0,8.61771536597747,3.148328342196937,6.601581913223258,4.113594044675093,8.617715365977467,8.992824376589908,8.20829619743559,7.745877187137027,6.1935966660592285
3,069d020584a0e8c61e622321d4c43881j7pl3,4.0,4.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,4.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,4.0,4.0,4.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,1.0,1.0,0.0,4.0,4.0,4.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,4.0,4.0,4.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.25,0.75,0.5,0.0,0.25,0.25,1.3491895715576814,2399631578947.333,361578947368.0,2884437703628.9463,1.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
4,120beb4523541f769a2b658cbc41dd57w7im7,5.0,3.0,1.8,2.0,2.0,0.4,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,3.4,4.0,1.2,1.0,3.4,1.0,2.4,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,4.0,1.0,1.0,1.0,0.0,4.0,3.4,4.0,1.2,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,4.0,1.0,1.0,1.0,0.0,4.0,3.4,4.0,1.2,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,4.0,1.0,1.0,1.0,0.0,4.0,3.4,4.0,1.2,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9,0.2222222222222222,1.9,1.1764705882352942,0.0,-0.55,4.08,1.1764705882352942,0.0,-0.15,4.08,1.1764705882352942,0.0,-0.15,4.08,1.1764705882352942,0.0,-0.15,3.4,0.7058823529411765,2.2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.8,0.0,0.2,0.0,1.9840434903067448,1758513157894.5,9842105262.0,3034263184683.791,1.0,0.0,0.7219280948873623,0.7219280948873623,0.7219280948873623,0.7219280948873623,0.7219280948873623,0.7219280948873623,0.7219280948873623,0.7219280948873623,0.7219280948873623
5,54957cfd12ec8c64918b6200ea25d27fsc9hx,17.0,12.0,1.9411764705882355,4.0,1.0,1.211250604822,1.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,13.0,7.0,3.823529411764706,2.0,2.6840551874234904,3.0,3.823529411764706,1.0,2.272142107744467,1.0,1.0,1.0,0.0,2.0,1.4705882352941178,1.0,0.4991341984846218,13.0,5.0,4.0,1.9411764705882355,1.0,1.211250604822,5.0,2.176470588235294,1.0,1.822580398215255,3.0,2.176470588235294,2.0,0.7848037684780196,13.0,13.0,13.0,0.0,3.0,1.7058823529411764,1.0,0.8235294117647058,1.0,17.0,1.0,1.0,1.0,0.0,17.0,17.0,17.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,12.0,8.0,3.0,1.7058823529411764,1.0,0.8235294117647058,4.0,1.9411764705882355,1.0,1.211250604822,5.0,3.0,2.0,1.7149858514250884,12.0,12.0,12.0,0.0,4.0,1.8823529411764703,1.0,1.3669352986614411,1.9411764705882355,0.6239775843022424,1.4705882352941178,1.8307692307692307,5.0,-0.0294117647058823,10.262563951913346,2.2972972972972974,4.0,1.176470588235294,3.966792631409672,2.060606060606061,3.0,0.9411764705882352,0.0,1.0,0.0,0.0,3.823529411764706,0.5942525512562451,2.4117647058823533,1.0,0.0,0.0,0.0,1.36,1.0,0.4705882352941177,0.7340208801244439,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.9411764705882355,0.6239775843022424,1.4705882352941178,1.3783783783783785,1.0,0.0882352941176469,1.708102319628631,1.0,0.0,0.0,0.0,1.7586206896551724,2.0,0.7058823529411764,1.4048442906574394,1.7058823529411764,0.4827586206896552,1.3529411764705883,1.6666666666666667,3.0,0.5,5.1449575542752655,1.0,0.0,0.0,0.0,2.125,3.0,0.8823529411764706,2.573054679833301,2.0,15.0,0.1176470588235294,0.8823529411764706,0.5294117647058824,0.1764705882352941,0.1764705882352941,0.1176470588235294,5.858391322521091,836825657894.75,233499999999.0,1152538074902.8523,1.0,0.0,3.4045428133422924,0.0,2.578551990991326,3.381580488309163,3.4045428133422924,3.4045428133422915,3.807763576417195,2.578551990991326,3.381580488309163
6,54957cfd12ec8c64918b6200ea25d27fsc9hx,8.0,5.0,2.0,3.0,2.0,0.8660254037844386,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,2.0,1.5,1.5,0.5,2.0,1.5,2.0,0.5,1.0,1.0,1.0,0.0,3.0,1.75,1.0,0.9682458365518544,6.0,4.0,2.0,1.625,2.0,0.4841229182759271,2.0,1.5,1.5,0.5,1.0,1.0,1.0,0.0,6.0,6.0,6.0,0.0,3.0,1.75,1.0,0.9682458365518544,1.0,8.0,1.0,1.0,1.0,0.0,8.0,8.0,8.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,6.0,3.0,3.0,2.0,2.0,0.8660254037844386,3.0,1.75,1.0,0.9682458365518544,2.0,1.5,1.5,0.5,6.0,6.0,6.0,0.0,2.0,1.5,1.5,0.5,1.0,0.4330127018922193,2.0,1.3333333333333333,0.5,0.3333333333333333,0.75,1.3333333333333333,0.5,0.0,0.75,1.7142857142857142,2.0,0.75,0.0,1.0,0.0,0.0,0.75,0.3333333333333333,1.75,1.0,0.0,0.0,0.0,1.7142857142857142,2.0,0.75,1.694430213965745,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8125,0.297921795862109,1.8125,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.7142857142857142,2.0,0.75,1.694430213965745,1.0,0.4330127018922193,2.0,1.3333333333333333,0.5,0.0,0.75,1.0,0.0,0.0,0.0,1.3333333333333333,0.5,0.0,0.75,1.0,7.0,0.125,0.875,0.125,0.125,0.375,0.375,2.6625188631122545,1710721804511.4285,2011789473684.0,1383933172623.3264,1.0,0.0,2.5,0.0,2.5,2.4056390622295662,2.5,2.5,3.0,2.5,2.4056390622295662
7,88641b0f22cf175876bfc4adc44c00f58b5rz,2.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,0.5,0.5,0.7288689868556626,3162842105264.0,3162842105264.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,0b450f2827ec670da34be66ec2a520213xcuk,2.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.5,1.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.5,0.5,0.7288689868556626,2829842105264.0,2829842105264.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
9,37d71b4ae830fcfa6f0c4f65ec386414n8h5l,2.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.5,0.5,0.0,0.6943650748294136,4603368421052.0,4603368421052.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
