,id_participante,resultado,total_lances_participante,leiloes_participados,media_lances_porleilao,max_lances_leilao,mediana_lances_porleilao,std_lances_porleilao,qtde_mercadorias_participante,qtde_lance_artigos esportivos,qtde_lance_joias,qtde_lance_móveis,qtde_lance_equipamentos de escritório,qtde_lance_bens domésticos,qtde_lance_livros e música,qtde_lance_computadores,qtde_lance_peças de automóveis,qtde_lance_vestuário,total_dispositivos_participante,dispositivos_duplicados,max_lances_pordispositivo,media_lances_pordispositivo,mediana_lances_pordispositivo,std_lances_pordispositivo,max_dispositivos_porleilao,media_dispositivos_porleilao,mediana_dispositivo_porleilao,std_dispositivos_porleilao,max_dispositivos_porip,media_dispositivos_porip,mediana_dispositivo_porip,std_dispositivos_porip,max_dispositivos_porurl,media_dispositivos_porurl,mediana_dispositivo_porurl,std_dispositivos_porurl,total_ips_participante,ips_duplicados,max_ips_porleilao,media_ips_porleilao,mediana_ips_porleilao,std_ips_porleilao,max_lances_porip,media_lances_porip,mediana_lances_porip,std_lances_porip,max_ips_pordispositivo,media_ips_pordispositivo,mediana_ips_por_dispositivo,std_ips_pordispositivo,max_ips_porpais,media_ips_porpais,mediana_ips_por_pais,std_ips_porpais,max_ips_porurl,media_ips_porurl,mediana_ips_por_url,std_ips_porurl,total_paises_participante,paises_duplicados,max_pais_porleilao,media_pais_porleilao,mediana_paises_por_leilao,std_paises_porleilao,max_lances_porpais,media_lances_porpais,mediana_lances_porpais,std_lances_porpais,max_pais_pordispositivo,media_pais_pordispositivo,mediana_paises_por_dispositivo,std_paises_pordispositivo,max_pais_porurl,media_pais_porurl,mediana_paises_por_url,std_paises_porurl,paises_por_ip,max_pais_ip,media_pais_porip,mediana_paises_por_ip,std_paises_porip,total_urls_participante,urls_duplicados,max_urls_porleilao,media_urls_porleilao,mediana_urls_por_leilao,std_urls_porleilao,max_lances_porurl,media_lances_porurl,mediana_lances_porurl,std_lances_porurl,max_urls_pordispositivo,media_urls_pordispositivo,mediana_urls_por_dispositivo,std_urls_pordispositivo,max_urls_porpais,media_urls_porpais,mediana_urls_por_pais,std_urls_porpais,max_urls_porip,media_urls_porip,mediana_urls_por_ip,std_urls_porip,ratio_media_mediana_lances_porleilao,ratio_std_media_lances_porleilao,comb_media_mediana_lances_porleilao,ratio_max_media_lances_pordispositivo,diff_max_mediana_lances_pordispositivo,var_percentual_media_mediana_lances_porleilao,interacao_media_std_lances_pordispositivo,ratio_max_media_lances_porip,diff_max_mediana_lances_porip,var_percentual_media_mediana_lances_porip,interacao_media_std_lances_porip,ratio_max_media_lances_porurl,diff_max_mediana_lances_porurl,var_percentual_media_mediana_lances_porurl,interacao_media_std_lances_porurl,ratio_max_media_lances_porpais,diff_max_mediana_lances_porpais,var_percentual_media_mediana_lances_porpais,ratio_media_mediana_dispositivos_porleilao,ratio_std_media_dispositivos_porleilao,comb_media_mediana_dispositivos_porleilao,ratio_max_media_dispositivos_porip,diff_max_mediana_dispositivos_porip,var_percentual_media_mediana_dispositivos_porip,interacao_media_std_dispositivos_porip,ratio_max_media_dispositivos_porurl,diff_max_mediana_dispositivos_porurl,var_percentual_media_mediana_dispositivos_porurl,interacao_media_std_dispositivos_porurl,ratio_media_mediana_pais_porleilao,ratio_std_media_pais_porleilao,comb_media_mediana_pais_porleilao,ratio_max_media_pais_pordispositivo,diff_max_mediana_pais_pordispositivo,var_percentual_media_mediana_pais_pordispositivo,interacao_media_pais_pordispositivo,ratio_max_media_pais_porip,diff_max_mediana_pais_porip,var_percentual_media_mediana_pais_porip,interacao_media_std_pais_porip,ratio_max_media_pais_porurl,diff_max_mediana_pais_porurl,var_percentual_media_mediana_pais_porurl,interacao_media_std_pais_porurl,ratio_media_mediana_ips_porleilao,ratio_std_media_ips_porleilao,comb_media_mediana_ips_porleilao,ratio_max_media_ips_pordispositivo,diff_max_mediana_ips_pordispositivo,var_percentual_media_mediana_ips_pordispositivo,interacao_media_ips_pordispositivo,ratio_max_media_ips_porpais,diff_max_mediana_ips_porpais,var_percentual_media_mediana_ips_porpais,interacao_media_std_ips_porpais,ratio_max_media_ips_porurl,diff_max_mediana_ips_porurl,var_percentual_media_mediana_ips_porurl,interacao_media_std_ips_porurl,ratio_media_mediana_urls_porleilao,ratio_std_media_urls_porleilao,comb_media_mediana_urls_porleilao,ratio_max_media_urls_pordispositivo,diff_max_mediana_urls_pordispositivo,var_percentual_media_mediana_urls_pordispositivo,interacao_media_urls_pordispositivo,ratio_max_media_urls_porpais,diff_max_mediana_urls_porpais,var_percentual_media_mediana_urls_porpais,interacao_media_std_urls_porpais,ratio_max_media_urls_porip,diff_max_mediana_urls_porip,var_percentual_media_mediana_urls_porip,interacao_media_std_urls_porip,qtde_lances_pico,qtde_lances_fora_pico,porcentagem_lances_pico,porcentagem_lances_fora_pico,porcentagem_lances_quartil_1,porcentagem_lances_quartil_2,porcentagem_lances_quartil_3,porcentagem_lances_quartil_4,std_lances_por_quartil,media_diftempo_porusuario,mediana_difs_tempo_participante,std_difstempo_porlance,qtde_lances_simultaneos,tem_lance_simultaneo,entropia_ip,entropia_pais,entropia_dispositivo,entropia_url,entropia_pais_ip,entropia_dispositivo_ip,entropia_dispositivo_url,entropia_dispositivo_pais,entropia_url_pais
0,6713e820273f591bdff7d26a48ee30c5k4iii,0,45164.0,1182.0,1041.244796740767,4934.0,573.0,1449.4270879112296,1.0,0.0,45164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1287.0,44787.0,3277.0,592.2454167035692,208.0,888.2505087010234,453.0,592.2454167035692,106.0,476.25323828378185,197.0,18.45075724027987,1.0,39.8344954951694,553.0,200.47006465326365,18.0,245.3302998787589,15340.0,34807.0,1454.0,391.3973961562306,254.0,422.99923288520586,1393.0,85.69316269595252,7.0,256.4456002578505,2105.0,298.37421397573286,94.0,534.5612126519759,6565.0,2645.337879727216,1222.0,2726.479394669446,5397.0,1765.9993578956692,21.0,2445.429817065068,54.0,45161.0,5.0,1.1641351518908865,1.0,0.4620067407291388,14591.0,6933.377557346559,4674.0,5441.272258739415,35.0,11.791515366220883,10.0,8.035291737641801,42.0,17.34999114338854,6.0,18.307728985768325,1.0,1.0,1.0,1.0,0.0,13063.0,35748.0,2064.0,445.67828358869895,186.0,630.701156910496,13998.0,4510.363741032681,29.0,6375.713944904217,536.0,141.15948543087416,86.0,152.22385224333175,2758.0,1832.026281994509,2042.0,957.9617353669798,389.0,29.508790186874503,3.0,65.19544027330903,1.8171811461444447,1.3920137631881828,807.1223983703835,5.533179164542535,3069.0,4.005984599715226,526062.2926627948,16.255672636829804,1386.0,11.241880385136074,21975.63454555719,3.103519095955453,13969.0,154.52978417354072,37726394.96215627,2.1044577306394454,9917.0,0.4833927165910481,5.587220912297823,0.8041484574665038,349.1227083517846,10.677068557919622,196.0,17.45075724027987,734.9766061703926,2.758516594267967,535.0,10.137225814070202,49181.38107809936,1.1641351518908865,0.3968669273311681,1.0820675759454432,2.968235965689736,25.0,0.1791515366220883,94.748265996471,1.0,0.0,0.0,0.0,2.4207505152534154,36.0,1.8916651905647568,317.63893575863807,1.540934630536341,1.0807410499899213,322.6986980781153,7.054899188343407,2011.0,2.1741937656992856,159499.2816469479,2.481724565436977,5343.0,1.164760949040275,7212459.221014815,3.05606000130768,5376.0,83.09520751884139,4318627.486715834,2.396119804240317,1.4151489541557924,315.8391417943495,3.797123504410048,450.0,0.6413893654752809,21487.84065297413,1.5054369181851437,716.0,-0.1028274818831983,1755011.0763373757,13.182512652552832,386.0,8.836263395624835,1923.8385681659845,6465.0,38699.0,0.1431449827296076,0.8568550172703924,0.2944787995655739,0.2182990890351752,0.2291819048252321,0.2580402065740186,14802.15943762494,302043941.41921484,157894738.0,428918282.5325748,1.0,0.0,12.135832857553932,3.391953303407063,7.815413599463907,8.884586775228398,12.13583285755393,13.707465157122382,12.230376278117763,9.547751748672832,10.260704107687951
1,6713e820273f591bdff7d26a48ee30c5k4iii,0,28193.0,1136.0,301.2782250913347,1056.0,239.0,279.97316008613353,1.0,0.0,28193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1083.0,27876.0,1803.0,372.4940588089242,178.0,469.7751150483051,256.0,372.4940588089242,67.0,303.6639219720261,82.0,9.539779377859752,1.0,19.61499722426232,421.0,132.8246373213209,7.0,181.2256925513694,10518.0,20899.0,473.0,170.84105983754833,106.0,153.59243817829338,759.0,48.61628773099706,6.0,144.3255213018667,866.0,168.6587096087681,80.0,220.89483424079896,4011.0,1944.7771787323093,1069.0,1703.3223439773597,2773.0,804.0878232185294,8.0,1213.0839905601886,56.0,28188.0,8.0,1.079877983896712,1.0,0.3298869652818905,11193.0,5471.23459724045,2704.0,4710.929284029631,28.0,10.952080303621466,9.0,7.553308485027521,42.0,14.518426559784343,3.0,17.61556858484309,1.0,1.0,1.0,1.0,0.0,9769.0,20783.0,519.0,146.23708012627247,103.0,136.0864180940643,7691.0,2167.281984889866,10.0,3388.844354196914,577.0,128.17717163834993,77.0,137.59809043664953,2947.0,1720.5750008867449,1576.0,1113.286301397274,264.0,22.066151172276808,2.0,54.90591380117824,1.2605783476624883,0.9292844180864966,270.13911254566733,4.8403456574991255,1625.0,0.6925742982659254,174988.4393317725,15.612051751044586,753.0,7.102714621832843,7016.571070537697,3.548684506040791,7681.0,215.7281984889866,25774599.283936106,2.0457905434443373,8489.0,1.0233855759025332,5.559612818043645,0.8152181619836105,219.7470294044621,8.59558662229741,81.0,8.539779377859752,187.122746016794,3.169592693722503,414.0,17.974948188760127,24071.236886440845,1.079877983896712,0.3054854068711558,1.039938991948356,2.556591918956382,19.0,0.2168978115134962,82.72444108604681,1.0,0.0,0.0,0.0,2.8928754660190856,39.0,3.8394755199281145,255.7503388078886,1.6117081116749843,0.8990370249654471,138.42052991877415,5.134629584258238,786.0,1.1082338701096015,37255.83770229589,2.0624470730444013,2942.0,0.8192489978786806,3312582.422591994,3.4486282715991003,2765.0,99.51097790231616,975426.065350789,1.4197774769541016,0.9305876319231532,124.61854006313624,4.501581620383989,500.0,0.6646385927058432,17636.934055007623,1.7127994992843578,1371.0,0.0917354066540259,1915492.579013816,11.964025712453244,262.0,10.033075586138404,1211.5621941887985,3478.0,24715.0,0.1233639555918135,0.8766360444081864,0.3226127438786026,0.2597817975052418,0.2301787554639468,0.1874267031522087,9269.789773714348,479451057.4108967,263157894.0,858108318.7492516,1.0,0.0,11.899911847888786,3.2934462366987995,7.614168970134311,9.308671576060789,11.899911847888786,13.03687021877865,12.195156981040078,9.27776256527106,10.470995622079446
2,84a773b3c9d300834d9d57af5dc83091y54cx,0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.5,0.0,0.0,0.5,0.7288689868556626,10713947368422.0,10713947368422.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,5c2b3f221cdf303df86ff1ffd7106fcco6pml,0,2273.0,376.0,37.50857897052354,138.0,15.0,43.97726726830655,1.0,0.0,0.0,2273.0,0.0,0.0,0.0,0.0,0.0,0.0,474.0,2050.0,263.0,46.187857457105146,14.0,80.39537906685884,62.0,46.187857457105146,8.0,36.31517615765547,10.0,1.6911570611526616,1.0,1.603064632228851,106.0,19.115266168059836,1.0,36.090221551344776,1639.0,893.0,88.0,28.995160580730317,14.0,30.533840549904028,17.0,2.641882974043115,1.0,3.119168046269257,125.0,27.81786185657721,11.0,38.33637098676584,620.0,294.3585569731632,194.0,274.1997248772775,249.0,40.26396832380114,1.0,85.33045316892414,62.0,2269.0,7.0,1.2111746590409151,1.0,0.9301699232292072,923.0,432.778266608007,240.0,411.0153814045806,26.0,5.070831500219974,3.0,5.344596760353462,36.0,7.730312362516498,1.0,12.151298752111002,1.0,1.0,1.0,1.0,0.0,1419.0,992.0,126.0,31.076110866695995,12.0,39.09050624281334,321.0,50.64100307963045,1.0,110.24095725957214,235.0,39.27232732072152,10.0,72.22896583857612,620.0,298.1033875934888,193.0,271.769260377285,15.0,2.368235811702596,1.0,2.7494579416658493,2.500571931368236,1.1724589007455195,26.25428948526177,5.694137257703481,249.0,1.6791842121802527,3713.29030855001,6.434804329725229,16.0,1.641882974043115,8.240476954618078,6.338737001224947,320.0,49.64100307963045,177878.5243135033,2.132731865752436,683.0,0.8032427775333626,5.773482182138143,0.7862494204538828,27.093928728552573,5.913111342351717,9.0,0.6911570611526616,2.7110340722779163,5.545305990931897,105.0,18.115266168059836,689.8741910182047,1.2111746590409151,0.7679899148201917,1.1055873295204577,5.127364220024292,23.0,0.6902771667399913,27.10154960837396,1.0,0.0,0.0,0.0,4.656991633942291,35.0,6.730312362516498,93.93333496407496,2.071082898623594,1.0530667855723583,21.49758029036516,4.493515736201171,114.0,1.52889653241611,1066.4358721923468,2.106274763592232,426.0,0.5173121493462022,80713.03533731378,6.184189248251748,248.0,39.26396832380114,3435.7426634491585,2.5896759055579994,1.2578957003498883,21.538055433348,5.983857235677637,225.0,2.9272327320721514,2836.599588449774,2.079815345290434,427.0,0.5445771377900973,81015.33716224556,6.333828720044584,14.0,1.3682358117025957,6.511364760223171,194.0,2079.0,0.0853497580290365,0.9146502419709636,0.2748898678414097,0.2762114537444934,0.2299559471365638,0.218942731277533,744.2696927171183,5994648813.93574,3894736842.0,6762721391.612246,1.0,0.0,10.344209290496147,3.780692002950466,7.384790528234936,9.060500700335602,10.34420929049615,10.73323160576134,10.661153461542744,8.67632175129529,10.08762264093585
6,3e85a43950c71b1988a814682abd4392yakvp,0,819.0,165.0,24.92185592185592,58.0,21.0,20.74324106284279,1.0,0.0,0.0,819.0,0.0,0.0,0.0,0.0,0.0,0.0,212.0,720.0,67.0,15.964590964590965,8.0,19.07974311247566,36.0,15.964590964590965,14.0,11.805032885217749,50.0,15.617826617826616,2.0,17.878008118221363,73.0,31.37973137973138,14.0,32.68745887482554,382.0,492.0,25.0,7.402930402930403,5.0,6.788001423814714,98.0,30.096459096459096,4.0,36.026570369184284,31.0,8.001221001221001,5.0,7.191858677142422,138.0,52.85470085470085,44.0,44.050388915607215,128.0,51.498168498168496,10.0,59.478531102333605,39.0,807.0,8.0,1.5067155067155067,1.0,1.5129530531518791,371.0,208.34065934065933,158.0,155.42291728896635,8.0,3.1074481074481075,3.0,1.8793085024953629,22.0,9.709401709401709,3.0,9.651234214558809,1.0,1.0,1.0,1.0,0.0,237.0,648.0,25.0,10.893772893772894,10.0,7.566050889223048,307.0,120.006105006105,16.0,144.95709848879198,17.0,5.065934065934066,4.0,4.270814084357881,86.0,55.91819291819292,64.0,33.064068470783845,35.0,10.973137973137971,2.0,12.144902960950423,1.186755043897901,0.8323313130404314,22.96092796092796,4.196787762906309,59.0,2.1152319902319903,304.60029450014565,3.25619700596373,94.0,6.524114774114774,1084.27220150186,2.5582031846161675,291.0,6.500381562881563,32380.91306463201,1.7807373806635372,213.0,0.3186117679788565,1.1403279260422117,0.7394510082595286,14.982295482295482,3.2014697834414823,48.0,6.808913308913309,279.21563106247794,2.326342412451362,59.0,1.241409384266527,1025.7236789780418,1.5067155067155067,1.0041398302523412,1.2533577533577531,2.574459724950884,5.0,0.0358160358160358,5.839853649390352,1.0,0.0,0.0,0.0,2.2658450704225355,19.0,2.236467236467236,93.70770998067356,1.4805860805860809,0.9169343833257876,6.201465201465202,3.874408667785747,26.0,0.6002442002442002,57.54365068536544,2.610931435963778,94.0,0.2012432012432011,2328.2701286676497,2.4855252862934774,118.0,4.149816849816849,3063.035416731532,1.0893772893772895,0.6945298899656664,10.446886446886449,3.3557483731019526,13.0,0.2664835164835164,21.6356625592196,1.537961001812346,22.0,-0.1262782356532357,1848.8829594096308,3.189607210415044,33.0,4.486568986568987,133.2676958608809,65.0,754.0,0.0793650793650793,0.9206349206349208,0.2649572649572649,0.2625152625152625,0.2783882783882784,0.1941391941391941,268.76161381954245,16662913395.958435,8684210527.0,23216694943.89037,1.0,0.0,6.824325386873818,2.929589687678667,6.708691915641142,5.344125935824902,6.824325386873818,8.893166323572915,8.19943274767247,7.663396273194951,6.653630254662014
7,25f59f9da43b6806aaa125fa61974591sacso,0,3.0,2.0,1.6666666666666667,2.0,2.0,0.4714045207910317,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.6666666666666667,2.0,0.4714045207910317,2.0,1.6666666666666667,2.0,0.4714045207910317,1.0,1.0,1.0,0.0,2.0,1.6666666666666667,2.0,0.4714045207910317,3.0,0.0,2.0,1.6666666666666667,2.0,0.4714045207910317,1.0,1.0,1.0,0.0,2.0,1.6666666666666667,2.0,0.4714045207910317,3.0,3.0,3.0,0.0,2.0,1.6666666666666667,2.0,0.4714045207910317,1.0,3.0,1.0,1.0,1.0,0.0,3.0,3.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,1.6666666666666667,2.0,0.4714045207910317,2.0,1.6666666666666667,2.0,0.4714045207910317,2.0,1.6666666666666667,2.0,0.4714045207910317,2.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,0.8333333333333334,0.282842712474619,1.8333333333333333,1.2,0.0,-0.1666666666666666,0.7856742013183862,1.0,0.0,0.0,0.0,1.2,0.0,-0.1666666666666666,0.0,1.0,0.0,0.0,0.8333333333333334,0.282842712474619,1.8333333333333333,1.0,0.0,0.0,0.0,1.2,0.0,-0.1666666666666666,0.7856742013183862,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8333333333333334,0.282842712474619,1.8333333333333333,1.2,0.0,-0.1666666666666666,0.7856742013183862,1.0,0.0,0.0,0.0,1.2,0.0,-0.1666666666666666,0.7856742013183862,0.8333333333333334,0.282842712474619,1.8333333333333333,1.2,0.0,-0.1666666666666666,0.7856742013183862,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.3333333333333333,0.6666666666666667,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9759000729485332,2136500000000.0,2136500000000.0,1927973684212.0,1.0,0.0,1.584962500721156,0.0,0.9182958340544894,0.9182958340544894,1.584962500721156,1.584962500721156,1.584962500721156,0.9182958340544894,0.9182958340544894
8,25f59f9da43b6806aaa125fa61974591sacso,0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9161253813129044,2320526315790.0,2320526315790.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,1c5f4fc669099bfbfac515cd26997bd12ruaj,0,4.0,4.0,1.0,1.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,2.5,3.0,0.8660254037844386,1.0,2.5,1.0,1.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,4.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0,2.5,3.0,0.8660254037844386,4.0,4.0,4.0,0.0,3.0,2.5,3.0,0.8660254037844386,1.0,4.0,1.0,1.0,1.0,0.0,4.0,4.0,4.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,3.0,1.0,1.0,1.0,0.0,3.0,2.5,3.0,0.8660254037844386,1.0,1.0,1.0,0.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.2,0.0,-0.6666666666666666,2.1650635094610964,1.0,0.0,0.0,0.0,1.2,0.0,-0.1666666666666666,0.0,1.0,0.0,0.0,2.5,0.6,1.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.2,0.0,-0.1666666666666666,2.1650635094610964,1.0,0.0,0.0,0.0,1.2,0.0,-0.1666666666666666,2.1650635094610964,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.25,0.75,0.0,0.0,0.5,0.5,1.474485382381644,2379000000000.0,2532052631578.0,703725882847.6107,1.0,0.0,2.0,0.0,0.8112781244591328,0.8112781244591328,2.0,2.0,0.8112781244591328,0.8112781244591328,0.8112781244591328
10,d9d24106ae1ff4f5bc4ec3caf29d7bd2c2f5o,0,10.0,10.0,1.0,1.0,1.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,3.0,1.8,1.5,0.8717797887081347,1.0,1.8,1.0,0.8,1.0,1.0,1.0,0.0,5.0,4.1,5.0,1.374772708486752,8.0,4.0,1.0,1.0,1.0,0.0,2.0,1.4,1.0,0.4898979485566356,2.0,1.3,1.0,0.458257569495584,7.0,5.8,7.0,2.4,6.0,4.8,6.0,1.833030277982336,2.0,10.0,1.0,1.0,1.0,0.0,8.0,6.8,8.0,2.4,1.0,1.0,1.0,0.0,2.0,1.3,1.0,0.458257569495584,1.0,1.0,1.0,1.0,0.0,2.0,10.0,1.0,1.0,1.0,0.0,7.0,5.8,7.0,1.833030277982336,1.0,1.0,1.0,0.0,2.0,1.8,2.0,0.4,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.6666666666666663,1.5,-0.3333333333333333,1.5692036196746424,1.4285714285714286,1.0,0.3999999999999999,0.6858571279792898,1.206896551724138,0.0,-0.1714285714285714,16.32,1.1764705882352942,0.0,-0.15,1.8,0.4444444444444445,1.4,1.0,0.0,0.0,0.0,1.2195121951219514,0.0,-0.18,5.636568104795683,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.5384615384615383,1.0,0.3,0.5957348403442593,1.0,0.0,1.0,1.5384615384615383,1.0,0.3,0.5957348403442593,1.206896551724138,0.0,-0.1714285714285714,13.92,1.25,0.0,-0.2,8.798545334315213,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.1111111111111112,0.0,-0.0999999999999999,0.7200000000000001,1.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.6,0.3,0.1,0.0,3.612181770461883,1086093567251.3334,516157894736.0,1254870201657.0728,1.0,0.0,2.9219280948873627,0.7219280948873623,2.6464393446710157,0.8812908992306927,2.9219280948873627,2.9219280948873627,2.6464393446710157,2.6464393446710157,1.1567796494470397
11,d9d24106ae1ff4f5bc4ec3caf29d7bd2c2f5o,0,4.0,4.0,1.0,1.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0,2.5,3.0,0.8660254037844386,4.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0,2.5,3.0,0.8660254037844386,4.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0,2.5,3.0,0.8660254037844386,1.0,1.0,1.0,1.0,0.0,2.0,3.0,1.0,1.0,1.0,0.0,3.0,2.5,3.0,0.8660254037844386,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.2,0.0,-0.1666666666666666,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.2,0.0,-0.1666666666666666,2.1650635094610964,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.2,0.0,-0.1666666666666666,2.1650635094610964,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.2,0.0,-0.1666666666666666,2.1650635094610964,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.25,0.75,0.25,0.25,0.25,0.25,1.2315604213470694,2712087719297.333,3222263157894.0,1790088714913.93,1.0,0.0,2.0,2.0,2.0,0.8112781244591328,2.0,2.0,2.0,2.0,2.0
